user_id,dtoken
4,Smf7LTEZmQCI9bKo5O0rrEXHjInTD9knXW2Y5SwYsEqb7YsBu7xH8HvOY8nD6kVM6PlNJmSMRCznNm9VQmZ6ccPQ0Ozx4srHjdEScesHOkp5IIBbz1mjVp9tA5mumViYKsD9hRibuRRsnjHSNXyDGImt
6,LRHsxVtC0UQE1tiiLpD7hGQX4hYWeSCFK56zbjxwYqWZrNl3QUuSiWWFBkXPw6XIRKuwXiH1sHJqjr5QvvGUXjXnI0xrWhAs3OHhTpG7M30bN6VJOGTBZCk8nGnxkQFKGQX5joxGp9HuSlacEocPXy20
9,9uNCImwXP4wIq0ZJNMqvpPB5KswdqnIowBKukEgmL6DQe3OXNFKmb5eTshrQpT72WHLpP5ZJ6EkSMlrge90kdVN1WqCCNZwszau6SYIhgBQ7lWHGqKcQsmpAuk2Y2WwGHrTbrUYP1iEbEgfAjvMCngzM
9,tc7wjPTFKZtC5P5lWpKhNvOF2f7JtT1sGqyhrTh3l6uQmxNghR0qp57xY23DiJLqyAwfRntDHhwgBxT41r2bsbDaSBTZpelbUDSlA8YtXXiI8qw0Jzbrg9yXxVWQ44N3wUVxf83t29O4svC1FtQqCtvk
9,vneLIZtKPMN4yla5iYHV44CTuLaNX0CZbsjkohUKUTcjowGHfUT5oZa0lVQwofnoJotGBqhBDwAKsS5xF38CH6bMRTz30XVf6n9ADzGodS1rY072qSrVGkhdMhphrNagbVdEj4uFWjZoFknql6cH6A8m
11,wnVJYxZilQCm3jVYlyXVs82tywVa2Janrynh9wxmzGT4lESmRjkCL1NXV1L2coPbfPu4weopAbVmOxIue8TiY8b0lZVHk5JKqio6JnpcuvB9F0IXTRnD57MHd4j7ShE41Kv6Ickqign36BUUQxn3hGfT
13,hsfESUNq6Iv4cPh6xUojjbbJZQVtanV5cB1jFmZWacztZpeiGxklqamFR5eCzUPjnZsbnx1Kv2IGbik9ccmdCafBOV2aHXXQXQGzwDvI59qX1g48kFZW7bgNkqW15rC7FsiVckc9hdH2kRa8rtpCxAjl
15,sOGg3de6SR9xJwz2qft4N33Qn9bBA9FJxlj66sNA3w1zAbixpaHVpRVZlpttBd6iM0zXN3vx1sARB3PMreLZ2kTg0TkgzTypZjm9bUjWfJtwQDYR9gBX1GQ2HTwtiOyIuLrSgga7upkSqW0Wv3GSRbYS
16,U2SXpd0LlCFLGatG42cWxbksayPIgqSm8pWNSJELUHFTVKosNLmJmw5ihZnrXS5ukScQNfoVX0Bq617ZJXv4DJAcUe6sVNoCcL9C78e7X1lVvfMQrYhAWAqbRAw9JvAJczNUs5rbiXGcXegf2QAw6nfb
20,yk7bEX10cjw1rXW7FRzuNNdURHtvDcoTcztkUAdAeLkukNasdZ16ggGkHMUx46Xzvcpr4cNFdyQB3i9D6BReLRdvtJdHfg6HokzHXjYBMWth0ERYdQ12PiodzuyUzFZx2INij1fndQ1oYv4osO4ZODsF
